dim_Order_ID,dim_Order_Date,dim_Order_Quantity,dim_Sales,dim_Discount,dim_Ship_Mode,dim_Customer_Name,dim_Region,dim_Product_Category,dim_Product_Sub_Category,dim_Product_Name,dim_Age,dim_Gender,dim_Store_type,dim_Payment_Mode,last_purchase_date,m_days_since_last_purchase,m_avg_basket_size,dim_Income,m_Total_spending,dim_Season,m_prefered_category,m_cross_channel_shopping,dim_campaign_name,m_cost,m_loyality_points,m_satisfaction_score,dim_repeat_customer
34,17-09-2015,24,426.037,0.01,Regular Air,Alan Barnes,Nunavut,Technology,Telephones and Communication,Accessory37,62,Male,Off_Store, Cash,16-10-2014,21,336,67202,17328.9855,Winter,Office Supplies,Yes,Content Marketing Campaign,24.21545054,17,9.3,1
35,19-10-2017,27,1078.49,0.08,Regular Air,Jack Garza,Nunavut,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,24,Female,TeleShop, Cash,02-02-2017,23,259,65316,13571.349,Rainy,Technology,Yes,Social Media Influencer Campaign,366.3816254,14,8.8,0
36,08-12-2016,39,3554.46,0.07,Delivery Truck,Julia West,Nunavut,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,69,Male,Off_Store,Debit Card,27-06-2014,28,895,93996,44021.42,Rainy,Furniture,Yes,Content Marketing Campaign,24.21545054,44,9,0
37,08-12-2016,47,191.67,0,Regular Air,Eugene Barchas,Nunavut,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,36,Male,e-Shop, Cash,21-06-2014,31,901,97694,22686.213,Spring,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,23,9,0
38,27-12-2015,49,5586.33,0.09,Delivery Truck,Eugene Barchas,Nunavut,Furniture,Chairs & Chairmats,Hon Every-Day¨ Chair Series Swivel Task Chairs,36,Male,e-Shop, E-wallet,08-03-2014,31,659,97694,22686.213,Spring,Office Supplies,Yes,Social Media Influencer Campaign,366.3816254,23,9,1
39,27-12-2015,18,507.64,0.1,Regular Air,Eugene Barchas,Nunavut,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",36,Male,e-Shop, E-wallet,19-11-2015,31,38,97694,22686.213,Rainy,Office Supplies,Yes,User-Generated Content Campaign,315.8348624,23,9,1
40,27-12-2015,30,14223.82,0.09,Delivery Truck,Edward Hooks,Nunavut,Furniture,Chairs & Chairmats,Global Troyª Executive Leather Low-Back Tilter,64,Female,Flagship store, E-wallet,16-06-2015,38,194,75860,34532.76,Rainy,Office Supplies,Yes,Cause Marketing Campaign,247.486618,35,8.6,0
41,27-12-2015,5,42.66,0.06,Regular Air,Brad Eason,Nunavut,Office Supplies,Binders and Binder Accessories,XtraLife¨ ClearVueª Slant-D¨ Ring Binders by Cardinal,32,Male,TeleShop,Credit Card,27-01-2014,30,699,96643,7703.36,Summer,Office Supplies,Yes,Product Launch Campaign,54.60111891,8,9.1,0
42,10-09-2017,21,427.32,0,Regular Air,Nicole Hansen,Nunavut,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,80,Female,Flagship store,Debit Card,01-06-2016,26,466,75357,20471.19,Winter,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,20,9.2,0
43,17-07-2016,8,820.284,0,Regular Air,Dorothy Wardle,Nunavut,Technology,Telephones and Communication,6160,61,Male,Flagship store,Credit Card,08-03-2015,24,497,99975,28598.5625,Summer,Technology,Yes,Email Newsletter Promotion,364.2303981,29,9.4,0
44,19-09-2017,5,14.76,0.01,Regular Air,Aaron Bergman,Nunavut,Office Supplies,Labels,Avery 49,75,Male,e-Shop, Cash,15-02-2016,24,582,95335,11630.59,Winter,Office Supplies,Yes,Product Launch Campaign,54.60111891,12,8.6,0
45,11-03-2016,9,89.55,0.06,Regular Air,Jim Radford,Nunavut,Office Supplies,Appliances,Hoover Portapowerª Portable Vacuum,35,Female,e-Shop, Cash,02-09-2015,23,191,71494,35978.139,Rainy,Technology,Yes,Email Newsletter Promotion,364.2303981,36,9,1
46,11-03-2016,11,1210.0515,0.04,Regular Air,Annie Cyprus,Nunavut,Technology,Telephones and Communication,Timeport L7089,50,Female,Off_Store, Cash,11-11-2014,23,486,76058,6874.5905,Spring,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,7,8.8,1
47,20-10-2014,50,187.83,0.03,Regular Air,Annie Cyprus,Nunavut,Office Supplies,Labels,Avery 510,50,Female,Flagship store,Debit Card,22-03-2014,23,212,76058,6874.5905,Rainy,Office Supplies,Yes,Partnership Campaign,42.64504226,7,8.8,1
48,20-06-2016,3,49.59,0.07,Express Air,Annie Cyprus,Nunavut,Office Supplies,Paper,Xerox 1881,50,Female,TeleShop, E-wallet,19-03-2014,23,824,76058,6874.5905,Rainy,Office Supplies,Yes,User-Generated Content Campaign,315.8348624,7,8.8,1
49,20-06-2016,30,4253.009,0.01,Regular Air,Annie Cyprus,Nunavut,Technology,Telephones and Communication,LX 788,50,Female,Flagship store,Credit Card,11-01-2016,23,161,76058,6874.5905,Rainy,Office Supplies,Yes,Limited-Time Offer Campaign,335.3664671,7,8.8,1
50,18-04-2015,7,59.38,0.1,Regular Air,Annie Cyprus,Nunavut,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",50,Female,Flagship store, Cash,19-07-2014,23,273,76058,6874.5905,Rainy,Office Supplies,Yes,User-Generated Content Campaign,315.8348624,7,8.8,1
51,18-04-2015,42,1285.37,0.1,Regular Air,Clay Rozendal,Nunavut,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",32,Female,Off_Store,Credit Card,14-08-2014,25,247,70138,6611.4365,Winter,Technology,Yes,Interactive Campaign,434.782767,7,8,1
52,18-04-2015,11,48.91,0.01,Regular Air,Don Jones,Nunavut,Office Supplies,Paper,Unpadded Memo Slips,27,Female,TeleShop, Cash,05-05-2014,20,348,73288,8399.321,Summer,Office Supplies,Yes,Limited-Time Offer Campaign,335.3664671,8,8.3,0
53,18-04-2015,22,129.62,0.05,Regular Air,Beth Thompson,Nunavut,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",64,Male,Flagship store, E-wallet,01-04-2014,23,382,98028,27214.947,Winter,Office Supplies,Yes,Product Launch Campaign,54.60111891,27,9.5,0
54,11-12-2016,12,118.97,0.09,Regular Air,Frank Price,Nunavut,Furniture,Office Furnishings,"Eldon Expressionsª Desk Accessory, Wood Pencil Holder, Oak",30,Female,Flagship store, Cash,14-07-2015,21,516,93871,8811.6155,Summer,Technology,Yes,Limited-Time Offer Campaign,335.3664671,9,8.3,0
55,11-12-2016,8,61.8715,0,Regular Air,Michelle Lonsdale,Nunavut,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,63,Female,Flagship store,Debit Card,02-09-2016,21,100,98233,34524.2525,Winter,Furniture,Yes,User-Generated Content Campaign,315.8348624,35,9.3,0
56,17-06-2016,7,384.33,0.1,Regular Air,Ann Chong,Nunavut,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,59,Female,e-Shop, E-wallet,05-03-2014,18,835,96428,7276.6235,Summer,Office Supplies,Yes,Product Launch Campaign,54.60111891,7,8.6,0
57,17-06-2016,3,239.03,0.01,Regular Air,Ann Chong,Nunavut,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,59,Female,e-Shop, E-wallet,09-01-2016,18,160,96428,7276.6235,Summer,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,7,8.6,1
58,17-06-2016,44,3922.42,0.08,Regular Air,Joy Bell,Nunavut,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",21,Female,e-Shop, Cash,06-04-2014,29,803,64593,22948.7625,Spring,Office Supplies,Yes,Product Launch Campaign,54.60111891,23,9.1,0
59,17-06-2016,25,1733.3625,0.07,Regular Air,Joy Bell,Nunavut,Technology,Telephones and Communication,Accessory4,21,Female,e-Shop, E-wallet,01-01-2015,29,533,64593,22948.7625,Spring,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,23,9.1,1
60,17-06-2016,19,208.28,0.07,Regular Air,Skye Norling,Nunavut,Office Supplies,Paper,Personal Creationsª Ink Jet Cards and Labels,63,Female,Flagship store, Cash,06-02-2016,34,132,73022,11710.83,Spring,Office Supplies,Yes,Email Newsletter Promotion,364.2303981,12,8.9,0
61,17-06-2016,6,9620.82,0.04,Regular Air,Barry Weirich,Nunavut,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,34,Female,Off_Store,Credit Card,03-07-2014,19,715,73098,40124.99,Winter,Office Supplies,Yes,Email Newsletter Promotion,364.2303981,40,8.9,0
62,17-06-2016,40,255.48,0.04,Regular Air,Grant Carroll,Nunavut,Office Supplies,Paper,Xerox 1966,18,Male,e-Shop,Debit Card,17-02-2014,28,851,69447,88417.0025,Rainy,Office Supplies,Yes,User-Generated Content Campaign,315.8348624,88,9.6,1
63,24-11-2015,18,130.32,0.04,Express Air,Grant Carroll,Nunavut,Office Supplies,Paper,Xerox 213,18,Male,e-Shop,Credit Card,21-06-2015,28,156,69447,88417.0025,Rainy,Office Supplies,Yes,Content Marketing Campaign,24.21545054,88,9.6,1
64,24-11-2015,11,312.36,0.07,Express Air,Adrian Hane,Nunavut,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",31,Male,Flagship store,Debit Card,15-05-2015,27,193,94358,795.82,Summer,Office Supplies,Yes,Cause Marketing Campaign,247.486618,1,7.5,0
65,24-11-2015,41,217,0.01,Regular Air,Skye Norling,Nunavut,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),63,Female,e-Shop, E-wallet,08-03-2014,34,626,73022,11710.83,Spring,Office Supplies,Yes,Limited-Time Offer Campaign,335.3664671,12,8.9,1
66,24-11-2015,47,296.13,0.04,Regular Air,Skye Norling,Nunavut,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",63,Female,Flagship store,Credit Card,13-09-2014,34,437,73022,11710.83,Rainy,Office Supplies,Yes,Limited-Time Offer Campaign,335.3664671,12,8.9,1
67,30-04-2015,40,436.17,0.08,Express Air,Andrew Gjertsen,Nunavut,Office Supplies,Storage & Organization,Crate-A-Filesª,41,Female,TeleShop,Debit Card,02-12-2014,28,149,85001,1406.34,Rainy,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,1,7.5,0
68,05-12-2014,18,136.29,0.05,Regular Air,Ralph Knight,Nunavut,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",46,Female,TeleShop, Cash,29-07-2014,21,129,86201,10174.915,Spring,Technology,Yes,Loyalty Program Campaign,562.9303721,10,8.6,0
69,05-12-2014,32,1311.25,0,Express Air,Dorothy Wardle,Nunavut,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",61,Male,e-Shop, E-wallet,04-08-2014,24,123,99975,28598.5625,Summer,Technology,Yes,Content Marketing Campaign,24.21545054,29,9.4,1
70,04-06-2016,5,544.41,0.09,Delivery Truck,Dorothy Wardle,Nunavut,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",61,Male,Flagship store,Debit Card,05-03-2015,24,457,99975,28598.5625,Rainy,Technology,Yes,Limited-Time Offer Campaign,335.3664671,29,9.4,1
71,18-09-2016,41,844.09,0.04,Regular Air,Dorothy Wardle,Nunavut,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,61,Male,e-Shop, Cash,18-09-2016,24,0,99975,28598.5625,Rainy,Technology,Yes,Partnership Campaign,42.64504226,29,9.4,1
72,14-09-2017,22,6396.2,0.02,Regular Air,Grant Carroll,Nunavut,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,18,Male,TeleShop, Cash,12-01-2017,28,245,69447,88417.0025,Winter,Office Supplies,Yes,Product Launch Campaign,54.60111891,88,9.6,1
73,26-04-2015,50,751.77,0.05,Regular Air,Barry Weirich,Nunavut,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",34,Female,Off_Store, E-wallet,28-08-2014,19,241,73098,40124.99,Spring,Office Supplies,Yes,Product Launch Campaign,54.60111891,40,8.9,1
74,26-04-2015,37,1003.06,0.03,Regular Air,Beth Paige,Nunavut,Office Supplies,Appliances,3M Office Air Cleaner,44,Male,TeleShop, E-wallet,06-09-2014,32,232,85333,7105.945,Rainy,Office Supplies,Yes,Interactive Campaign,434.782767,7,8.8,0
75,26-04-2015,4,1266.72,0.04,Delivery Truck,Sylvia Foulston,Nunavut,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",53,Male,Flagship store, Cash,16-11-2014,30,161,70157,88875.7575,Rainy,Furniture,Yes,Limited-Time Offer Campaign,335.3664671,89,9.6,1
76,09-12-2017,19,368.04,0.07,Express Air,Nicole Hansen,Nunavut,Office Supplies,Paper,Xerox 1936,80,Female,TeleShop,Credit Card,07-06-2014,26,1281,75357,20471.19,Spring,Office Supplies,Yes,Email Newsletter Promotion,364.2303981,20,9.2,1
77,09-12-2017,24,152.6,0.1,Regular Air,Nicole Hansen,Nunavut,Office Supplies,Paper,Xerox 214,80,Female,Off_Store, Cash,20-03-2015,26,995,75357,20471.19,Summer,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,20,9.2,1
78,09-12-2017,40,3338.98,0,Regular Air,Nicole Hansen,Nunavut,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,80,Female,e-Shop, E-wallet,05-11-2017,26,34,75357,20471.19,Summer,Office Supplies,Yes,Product Launch Campaign,54.60111891,20,9.2,1
79,26-11-2014,5,24.16,0.08,Express Air,Beth Paige,Nunavut,Office Supplies,Binders and Binder Accessories,Staples¨ General Use 3-Ring Binders,44,Male,e-Shop,Debit Card,05-05-2014,32,205,85333,7105.945,Summer,Office Supplies,Yes,Cause Marketing Campaign,247.486618,7,8.8,1
80,12-06-2016,41,270.84,0.1,Express Air,Beth Paige,Northwest Territories,Office Supplies,Paper,Xerox 1904,44,Male,e-Shop, Cash,07-02-2016,32,126,85333,7105.945,Summer,Office Supplies,Yes,Content Marketing Campaign,24.21545054,7,8.8,1
81,12-06-2016,35,3389.93,0.08,Express Air,Beth Paige,Northwest Territories,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,44,Male,e-Shop,Debit Card,14-08-2014,32,668,85333,7105.945,Spring,Office Supplies,Yes,Cause Marketing Campaign,247.486618,7,8.8,1
82,12-10-2014,42,266.36,0.07,Regular Air,Beth Paige,Northwest Territories,Office Supplies,Paper,Xerox 217,44,Male,e-Shop,Credit Card,15-08-2014,32,58,85333,7105.945,Summer,Office Supplies,Yes,Interactive Campaign,434.782767,7,8.8,1
83,12-10-2014,46,89.41,0.01,Regular Air,Beth Paige,Northwest Territories,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,44,Male,e-Shop, Cash,30-01-2014,32,255,85333,7105.945,Spring,Office Supplies,Yes,Cause Marketing Campaign,247.486618,7,8.8,1
84,03-09-2015,47,2799.7,0.04,Regular Air,Sylvia Foulston,Northwest Territories,Office Supplies,Appliances,"Acco Smartsocketª Table Surge Protector, 6 Color-Coded Adapter Outlets",53,Male,Off_Store, E-wallet,03-04-2015,30,153,70157,88875.7575,Rainy,Furniture,Yes,Loyalty Program Campaign,562.9303721,89,9.6,1
85,13-11-2017,7,2039.56,0.04,Express Air,Bryan Davis,Northwest Territories,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",53,Male,TeleShop,Credit Card,03-08-2015,25,833,61442,2354.7,Winter,Office Supplies,Yes,Email Newsletter Promotion,364.2303981,2,6.7,0
86,28-05-2017,36,12175.82,0.02,Delivery Truck,Joy Bell,Northwest Territories,Furniture,Chairs & Chairmats,Hon 4070 Series Pagodaª Round Back Stacking Chairs,21,Female,TeleShop, Cash,30-09-2016,29,240,64593,22948.7625,Rainy,Office Supplies,Yes,Social Media Influencer Campaign,366.3816254,23,9.1,1
87,26-10-2017,5,101.21,0.1,Express Air,Joy Bell,Northwest Territories,Office Supplies,Paper,Xerox 1887,21,Female,e-Shop, Cash,07-07-2014,29,1207,64593,22948.7625,Winter,Office Supplies,Yes,Content Marketing Campaign,24.21545054,23,9.1,1
88,26-10-2017,32,1585.64,0.02,Regular Air,Joy Bell,Northwest Territories,Office Supplies,Paper,Xerox 1891,21,Female,e-Shop,Debit Card,29-07-2017,29,89,64593,22948.7625,Summer,Office Supplies,Yes,Limited-Time Offer Campaign,335.3664671,23,9.1,1
89,05-04-2016,44,176.26,0.07,Regular Air,Alan Barnes,Northwest Territories,Office Supplies,Labels,Avery 506,62,Male,e-Shop, Cash,26-05-2015,21,315,67202,17328.9855,Summer,Office Supplies,Yes,Social Media Influencer Campaign,366.3816254,17,9.3,1
90,17-09-2016,32,4655.07,0,Delivery Truck,Grant Carroll,Northwest Territories,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",18,Male,e-Shop, E-wallet,18-09-2014,28,730,69447,88417.0025,Winter,Office Supplies,Yes,Content Marketing Campaign,24.21545054,88,9.6,1
